ki,WASH,Water,2,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_type_water_other_purposes,"Percentage of KIs by type of primary source of water used in the communities for other purposes such as cooking, bathing and washing",ki_type_water_other_purposes,"What is the main source of water used by people in the community for other purposes such as cooking, bathing and washing? ",,select_one,water_source_ki,select_one water_source_ki,,,,,,TRUE
ki,WASH,Water,2,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_type_water_other_purposes,"Percentage of KIs by type of primary source of water used in the communities for other purposes such as cooking, bathing and washing",ki_type_water_other_purposes_other,"Other, please specify",,text,,text,${ki_type_water_other_purposes} = 'other',,,,,TRUE
ki,WASH,Water,1,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_enough_water_drk_cook_bath_wash,"Percentage of KIs reporting that the communities have enough water for drinking, cooking, bathing and washing",ki_enough_water_all_uses,"Do people in the community have enough water for drinking, cooking, bathing and washing?",,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Water,2,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_enough_water_drk_cook_bath_wash,Percentage of KIs reporting that the communities have enough water to drink,ki_enough_water_drk,Do people in the community have enough water to drink?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Water,2,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_enough_water_drk_cook_bath_wash,"Percentage of KIs reporting that the communities have enough water for cooking, bathing and washing",ki_enough_water_cook_bath_wash,"Do people in the community have enough water for other purposes such as cooking, bathing and washing? ",,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Water,1,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_type_prob_access_water,Percentage of KIs reporting that the communities have problems related to access to water - by type of problems,ki_prob_access_water,Do people in the community have problems related to access to water?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
ki,WASH,Water,1,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_type_prob_access_water,Percentage of KIs reporting that the communities have problems related to access to water - by type of problems,ki_prob_access_water_type,Which problems did the community face due to the lack of water?,,select_multiple,prob_water,select_multiple prob_water,${ki_prob_access_water} = 'yes',,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Water,1,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_type_prob_access_water,Percentage of KIs reporting that the communities have problems related to access to water - by type of problems,ki_prob_access_water_type_other,"Other, please specify",,text,,text,"selected(${ki_prob_access_water_type} , 'other')",,,,,TRUE
ki,WASH,Water,2,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_coping_strat_water,Percentage of KIs reporting that the communities engage in coping mechanisms for water insufficiency - by types of coping mechanism,ki_coping_strat_water,How do people in the community adapt to lack of water?,,select_multiple,coping_strat_water,select_multiple coping_strat_water,"not(selected(${ki_prob_access_water_type}, 'dkn') or selected(${ki_prob_access_water},'no'))",,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Water,2,access_suff_quant_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_coping_strat_water,Percentage of KIs reporting that the communities engage in coping mechanisms for water insufficiency - by types of coping mechanism,ki_coping_strat_water_other,"Other, please specify",,text,,text,"selected(${ki_coping_strat_water},'other')",,,,,TRUE
ki,WASH,Hygiene,1,access_funct_handwashing,Percentage of KIs reporting that communities have access to functioning handwashing facilities (and soap),ki_type_handwashing_fac,Percentage of KIs reporting that the communities have access to functioning handwashing facilities ,ki_access_handwashing_fac,Do people in the community have access to functioning hand-washing facilities?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Hygiene,1,access_funct_handwashing,Percentage of KIs reporting that communities have access to functioning handwashing facilities (and soap),ki_access_soap,Percentage of KIs reporting that the communities have access to soap,ki_access_soap,Do people in the community have enough soap?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Hygiene,2,access_funct_handwashing,Percentage of KIs reporting that communities have access to functioning handwashing facilities (and soap),ki_type_prob_soap,Percentage of KIs reporting that the communities have problems related to access to soap - by type of problem ,ki_type_prob_soap,Do people in the community have problems related to access to soap?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
ki,WASH,Hygiene,2,access_funct_handwashing,Percentage of KIs reporting that communities have access to functioning handwashing facilities (and soap),ki_type_prob_soap,Percentage of KIs reporting that the communities have problems related to access to soap - by type of problem ,ki_type_prob_soap_type,Which problems do people face to access soap?,,select_multiple,prob_soap_ki,select_multiple prob_soap_ki,${ki_type_prob_soap} = 'yes',,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Hygiene,2,access_funct_handwashing,Percentage of KIs reporting that communities have access to functioning handwashing facilities (and soap),ki_type_prob_soap,Percentage of KIs reporting that the communities have problems related to access to soap - by type of problem ,ki_type_prob_soap_type_other,"Other, please specify",,text,,text,"selected(${ki_type_prob_soap_type}, 'other')",,,,,TRUE
ki,WASH,Hygiene,2,access_MHM,Percentage of KIs reporting that women/girls of menstruating age living in the community have access to MHM,ki_access_mhm,Percentage of KIs reporting that women/girls of menstruating age living in the communities have access to menstrual materials,ki_access_mhm,Do women in the community have access to enough menstrual materials?,,select_one,prop_com,select_one prop_com,${ki_gender_interviewer} = 'female' and ${ki_gender_interviewee}='female',,,,,TRUE
ki,WASH,Hygiene,2,access_MHM,Percentage of KIs reporting that women/girls of menstruating age living in the community have access to MHM,ki_type_MHM,Percentage of KIs by type of menstrual materials used by women/girls of menstruating age living in the communities,ki_type_mhm,What type of menstrual materials do women in the community use the most?,,select_multiple,mhm,select_multiple mhm,,,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Hygiene,2,access_MHM,Percentage of KIs reporting that women/girls of menstruating age living in the community have access to MHM,ki_type_MHM,Percentage of KIs by type of menstrual materials used by women/girls of menstruating age living in the communities,ki_type_mhm_other,"Other, please specify",,text,,text,"selected(${ki_type_mhm}, 'other')",,,Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_access_san_fac,Percentage of KIs reporting that the communities have access to functioning sanitation facilities ,ki_access_san_fac,Do people in the community have access to a functioning sanitation facility (latrine/toilet)?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_type_san_fac,Percentage of KIs by most common type of sanitation facilities in the communities ,ki_type_san_fac,What is the most common type of sanitation facilities (latrines/toilets) used by people in the community?,,select_one,san_infra,select_one san_infra,,,,,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_type_san_fac,Percentage of KIs by most common type of sanitation facilities in the communities ,ki_type_san_fac_other,"Other, please specify",,text,,text,${ki_type_san_fac} = 'other',,,,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_nb_hh_san_fac,Percentage of KIs reporting that households in the communities share sanitation facilities with other households,ki_hh_share_san_fac,Do people in the community share sanitation facilities (latrines/toilets) with other households?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_type_prob_san_fac,Percentage of KIs reporting that the communities have problems related to access to sanitation facilities - by type of problem,ki_type_prob_san_fac_type,What problems do people have related to sanitation facilities (latrines/toilets) in the community?,,select_multiple,prob_san_fac,select_multiple prob_san_fac,,,"not((selected(., 'dkn') or selected(., 'no_problem')) and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Sanitation,1,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_type_prob_san_fac,Percentage of KIs reporting that the communities have problems related to access to sanitation facilities - by type of problem,ki_type_prob_san_fac_type_other,"Other, please specify",,text,,text,"selected(${ki_type_prob_san_fac_type}, 'other')",,,,,TRUE
ki,WASH,Sanitation,2,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_coping_strat_san,Percentage of KIs reporting that the communities engage in coping mechanisms for problems related to access to sanitation facilities - by types of coping mechanism,ki_coping_strat_san,(If applicable) How do people in the community adapt to issues related to sanitation facilities (latrines/toilets)?,,select_multiple,coping_strat_san,select_multiple coping_strat_san,"not(selected(${ki_type_prob_san_fac_type}, 'no_problem'))",,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Sanitation,2,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_coping_strat_san,Percentage of KIs reporting that the communities engage in coping mechanisms for problems related to access to sanitation facilities - by types of coping mechanism,ki_coping_strat_san_other,"Other, please specify",,text,,text,"selected(${ki_coping_strat_san}, 'other')",,,,,TRUE
ki,WASH,Sanitation,1,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_solid_waste_practices,Percentage of KIs reporting that people in the communities live in areas where solid waste is frequently visible ,ki_solid_waste_around_accom,Do people in the community live in areas where solid waste/trash is frequently visible?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,2,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_solid_waste_practices,Percentage of KIs reporting that the communities have a solid waste disposal system - by type of solid waste disposal system,ki_solid_waste_practices,What is the most common way people in the community dispose of solid waste/trash?,,select_one,waste_disposal,select_one waste_disposal,,,,,,TRUE
ki,WASH,Sanitation,2,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_solid_waste_practices,Percentage of KIs reporting that the communities have a solid waste disposal system - by type of solid waste disposal system,ki_solid_waste_practices_other,"Other, please specify",,text,,text,${ki_solid_waste_practices} = 'other',,,,,TRUE
ki,WASH,Sanitation,1,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_dead_animal_around_accom,Percentage of KIs reporting that people in the communities live in areas where dead animals are frequently visible ,ki_dead_animal_around_accom,Do people in the community live in areas where dead animals are frequently visible?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,1,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_rodents_around_accom,Percentage of KIs reporting that people in the communities live in areas where rodents are frequently visible ,ki_rodents_around_accom,Do people in the community live in areas where rodents are frequently visible?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,1,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_human_feces_around_accom,Percentage of KIs reporting that people in the communities live in areas where human faeces are frequently visible ,ki_human_feces_around_accom,Do people in the community live in areas where traces of human faeces are frequently visible?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,1,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_stagnant_water_around_accom,Percentage of KIs reporting that people in the communities live in areas where stagnant water is frequently visible ,ki_stagnant_water_around_accom,Do people in the community live in areas where stagnant water is frequently visible?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Water,3,suff_access_water,Percentage of KIs reporting that communities have access to a sufficient quantity of water,ki_satisf_access_water,Percentage of KIs by level of satisfaction with regards to water access of people living in the communities,ki_satisf_access_water,How satisfied are people in the community with regards to access to water?,,select_one,satisfaction,select_one satisfaction,,,,,,TRUE
ki,WASH,Water,3,treating_water,Percentage of KIs reporting that communities treat drinking water,ki_water_treatment,Percentage of KIs reporting that the communities treat their drinking water ,ki_freq_water_treatment,Do people in the community treat water in any way to make it safer to drink?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Water,3,treating_water,Percentage of KIs reporting that communities treat drinking water,ki_type_water_treatment,Percentage of KIs reporting that the communities treat drinking water - by type of water treatment used,ki_type_water_treatment,What are the most common methods of water treatment in your community?,,select_one,water_treat_type,select_one water_treat_type,not(${ki_freq_water_treatment}='nobody'),,,,,TRUE
ki,WASH,Water,3,treating_water,Percentage of KIs reporting that communities treat drinking water,ki_type_water_treatment,Percentage of KIs reporting that the communities treat drinking water - by type of water treatment used,ki_type_water_treatment_other,What are the most common methods of water treatment in your community?,,text,,text,${ki_type_water_treatment}='other',,,,,TRUE
ki,WASH,Hygiene,3,access_MHM,Percentage of KIs reporting that women/girls of menstruating age living in the community have access to MHM,ki_satisf_MHM,Percentage of KIs by level of satisfaction with regards to MHM of women/girls of menstruating age living in the communities,ki_satisf_MHM,How satisfied are women in the community with regards to access to menstrual materials?,,select_one,satisfaction,select_one satisfaction,${ki_gender_interviewer} = 'female' and ${ki_gender_interviewee}='female',,,,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_access_wash_nfi,"Percentage of KIs reporting that the communities have enough hygiene items (soap, feminine hygiene products, baby diapers, toothpaste/brush)",ki_access_wash_nfi,"Do people in the community have enough hygiene items (soap, feminine hygiene products, baby diapers, toothpaste/brush)?",,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_prob_wash_nfi,Percentage of KIs reporting that the communities have problems related to hygiene NFI access - by type of problem,ki_prob_wash_nfi,"Do people in the community have problems related to hygiene items (soap, feminine hygiene products, baby diapers, toothpaste/brush)? If yes, which ones? ",,select_multiple,prob_wash_nfi,select_multiple prob_wash_nfi,,,"not((selected(., 'dkn') or selected(., 'no_problem')) and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_prob_wash_nfi,Percentage of KIs reporting that the communities have problems related to hygiene NFI access - by type of problem,ki_prob_wash_nfi_other,"Other, please specify",,text,,text,${ki_prob_wash_nfi}='other',,,,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_coping_wash_nfi,Percentage of KIs reporting that the communities engage in coping mechanisms for hygiene NFI access issues - by type of coming mechanism,ki_coping_wash_nfi,How do people in the community adapt to issues related to hygiene items?,,select_multiple,coping_strat_wash_nfi,select_multiple coping_strat_wash_nfi,,,"not((selected(., 'dkn') or selected(., 'no_problem')) and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_coping_wash_nfi,Percentage of KIs reporting that the communities engage in coping mechanisms for hygiene NFI access issues - by type of coming mechanism,ki_coping_wash_nfi_other,How do people in the community adapt to issues related to hygiene items?,,text,,text,"selected(${ki_coping_wash_nfi}, 'other')",,,,,TRUE
ki,WASH,Hygiene,3,basic_wash_nfi,Percentage of KIs reporting that communities have access to basic hygiene NFI,ki_satisf_wash_nfi,Percentage of KIs by level of satisfaction with regards to access to hygiene NFI of people living in the communities,ki_satisf_wash_nfi,"How satisfied are people in the community with regards to access to hygiene items (soap, feminine hygiene products, baby diapers, toothpaste/brush)?",,select_one,satisfaction,select_one satisfaction,,,,,,TRUE
ki,WASH,Hygiene,3,access_funct_bathing,Percentage of KIs reporting that communities have access to functioning bathing facilities,ki_where_hh_bath,Percentage of KIs reporting that the communities have access to functioning bathing facilities,ki_access_bath_fac,Do people in the community have access to functioning bathing/shower facilities?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Hygiene,3,access_funct_laundry,Percentage of KIs reporting that communities have access to functioning laundry facilities,ki_where_hh_laundry,Percentage of KIs reporting that the communities have access to functioning laundry facilities,ki_access_laund_fac,Do people in the community have access to functioning laundry facilities?,,select_one,prop_com,select_one prop_com,,,,,,TRUE
ki,WASH,Sanitation,3,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_female_satisf_access_san,Percentage of KIs by level of satisfaction of female members living in the communities with regards to sanitation facilities,ki_female_satisf_access_san,How satisfied are the female community members with regards to access to sanitation facilities (latrines/toilets)?,,select_one,satisfaction,select_one satisfaction,,,,,,TRUE
ki,WASH,Sanitation,3,access_funct_sanitation,Percentage of KIs reporting that communities have access to functioning sanitation facilities,ki_male_satisf_access_san,Percentage of KIs by level of satisfaction of male members living in the communities with regards to sanitation facilities,ki_male_satisf_access_san,How satisfied are the male community members with regards to access to sanitation facilities (latrines/toilets)?,,select_one,satisfaction,select_one satisfaction,,,,,,TRUE
ki,WASH,Sanitation,3,disp_feces_child_under5,Percentage of KIs reporting that communities dispose children under-5 faeces in a safe manner,ki_what_do_feces_child_under5,Percentage of KIs by defecation practice of children under 5 living in the communities,ki_where_child_under5_defecate,Where do children under 5 living in the community usually go to defecate?,,select_one,san_infra,select_one san_infra,,,,,,TRUE
ki,WASH,Sanitation,3,disp_feces_child_under5,Percentage of KIs reporting that communities dispose children under-5 faeces in a safe manner,ki_what_do_feces_child_under5,Percentage of KIs by defecation practice of children under 5 living in the communities,ki_where_child_under5_defecate_other,"Other, please specify",,text,,text,${ki_where_child_under5_defecate}='other',,,,,TRUE
ki,WASH,Sanitation,3,disp_feces_child_under5,Percentage of KIs reporting that communities dispose children under-5 faeces in a safe manner,ki_what_do_feces_child_under5,Percentage of KIs by children-under-5 faeces disposal practices in the communities,ki_what_do_feces_child_under5,"If children under 5 do not use sanitation facilities (latrines/toilets), what is usually done with their faeces?",,select_one,feces_under5,select_one feces_under5,,,,,,TRUE
ki,WASH,Sanitation,3,disp_feces_child_under5,Percentage of KIs reporting that communities dispose children under-5 faeces in a safe manner,ki_what_do_feces_child_under5,Percentage of KIs by children-under-5 faeces disposal practices in the communities,ki_what_do_feces_child_under5_other,"Other, please specify",,text,,text,${ki_what_do_feces_child_under5} = 'other',,,,,TRUE
ki,WASH,Sanitation,3,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_freq_solid_waste_practices,Percentage of KIs by reported frequency of solid waste collection in the communities,ki_solid_waste_freq,"How frequently garbage is collected in the community from communal pits, bins in the streets or designated dumping areas?",,select_one,freq_garbage,select_one freq_garbage,,,,,,TRUE
ki,WASH,Sanitation,3,probs_envir_sanitation,Percentage of KIs reporting that communities face environmental sanitation problems,ki_freq_solid_waste_practices,Percentage of KIs by reported frequency of solid waste collection in the communities,ki_solid_waste_freq_other,"Other, please specify",,text,,text,${ki_solid_waste_freq} = 'other',,,,,TRUE
ki,WASH,Priority,3,main_priority,Percentage of KIs reporting the main priority concerns of the communities ,ki_main_priority,Percentage of KIs reporting the main priority concerns of the communities - by type of concerns,ki_main_priority,Which of the following is the biggest concern right now for people in the community? ,,select_one,priorities,select_one priorities,,,,,,TRUE
ki,WASH,Priority,3,main_priority,Percentage of KIs reporting the main priority concerns of the communities ,ki_main_priority,Percentage of KIs reporting the main priority concerns of the communities - by type of concerns,ki_main_priority_other,"Other, please specify",,text,,text,${ki_main_priority} = 'other',,,,,TRUE
ki,WASH,Priority,3,preferred_type_interventions,Percentage of KIs reporting the preferred type of interventions by the communities ,ki_preferred_type_interventions,Percentage of KIs reporting the preferred type of interventions by the communities - by type of interventions,ki_preferred_type_interventions,"If people in the community were to receive support to address those concerns, what would they prefer? ",,select_one,type_interventions,select_one type_interventions,,,,,,TRUE
ki,WASH,Priority,3,preferred_type_interventions,Percentage of KIs reporting the preferred type of interventions by the communities ,ki_preferred_type_interventions,Percentage of KIs reporting the preferred type of interventions by the communities - by type of interventions,ki_preferred_type_interventions_other,"Other, please specify",,text,,text,${ki_preferred_type_interventions} = 'other',,,,,TRUE
interview_method,sector,Theme,Priority,macro_indicator_name,macro_indicator_label,sub_indicator_name,sub_indicator_label,name,label::English,hint::English,qtype,choices_list,type,relevant,calculation,constraint,constraint_message::English,repeat_count,required
household,demo,Information on survey,NA,NA,NA,NA,NA,hh_info_survey_beg,Information on survey,,begin_group,,begin_group,,,,,,TRUE
household,demo,Information on survey,NA,NA,NA,NA,NA,hh_gender_interviewer,What is the gender of the person conducting the interview?,,select_one,gender,select_one gender,,,,,,TRUE
household,demo,Information on survey,NA,NA,NA,NA,NA,hh_gender_interviewee,What is the gender of the person answering the interview?,,select_one,gender,select_one gender,,,,,,TRUE
household,demo,Information on survey,NA,NA,NA,NA,NA,hh_info_survey_end,Information on survey,,end_group,,end_group,,,,,,TRUE
household,demo,Information on household,NA,NA,NA,NA,NA,hh_info_hh_beg,Information on the household,,begin_group,,begin_group,,,,,,TRUE
household,demo,Information on household,NA,NA,NA,NA,NA,hh_nb_indiv_hh,How many individuals are living in this household?,INSERT DEFINITION OF AN HOUSEHOLD,decimal,,decimal,,,.<100,More than 100 persons in the household,,TRUE
household,demo,Information on household,NA,NA,NA,NA,NA,hh_info_hh_end,Information on the household,,end_group,,end_group,,,,,,TRUE
household,WASH,Water,NA,NA,NA,NA,NA,hh_water,Water,,begin_group,,begin_group,,,,,,TRUE
household,WASH,Water,1,access_improved_water_source,Percentage of households having access to an improved water source,hh_primary_water_source,Percentage of households by type of primary source of drinking water,hh_primary_water_source,What is the main source of water used by your household for drinking?,,select_one,water_source,select_one water_source,,,,,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_primary_water_source,Percentage of households by type of primary source of drinking water,hh_primary_water_source_other,Other type of water source: specify,,text,,text,"selected(${primary_water_source}, 'other')",,,,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_secondary_water_source,Percentage of households by type of secondary sources of drinking water,hh_secondary_water_source,"Aside from this main source, does your household use other sources of water for drinking?",,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_type_secondary_water_source,Percentage of households by type of secondary sources of drinking water,hh_type_secondary_water_source,What other water sources does your household use for drinking?,,select_multiple,water_source,select_multiple water_source,"selected(${secondary_water_source}, 'yes')",,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_primary_water_source,Percentage of households by type of primary source of drinking water,hh_primary_water_source_other,Other type of water source: specify,,text,,text,"selected(${type_secondary_water_source}, 'other')",,,,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_type_water_other_purposes,"Percentage of households by type of primary source of water for other purposes such as cooking, bathing and washing",hh_type_water_other_purposes,"What is the main source of water used by your household for other purposes such as cooking, bathing and washing?",,select_one,water_source,select_one water_source,,,,,,TRUE
household,WASH,Water,2,access_improved_water_source,Percentage of households having access to an improved water source,hh_primary_water_source,Percentage of households by type of primary source of drinking water,hh_primary_water_source_other,Other type of water source: specify,,text,,text,"selected(${type_water_other_purposes}, 'other')",,,,,TRUE
household,WASH,Water,1,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_enough_water_drk_cook_bath_wash,"Percentage of households reporting having enough water for drinking, cooking, bathing and washing",hh_enough_water_drk,Does your household currently have enough water to meet drinking needs?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,1,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_enough_water_drk_cook_bath_wash,"Percentage of households reporting having enough water for drinking, cooking, bathing and washing",hh_enough_water_cook,Does your household currently have enough water to meet cooking needs?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,1,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_enough_water_drk_cook_bath_wash,"Percentage of households reporting having enough water for drinking, cooking, bathing and washing",hh_enough_water_bath,Does your household currently have enough water to meet personal hygiene (washing or bathing) needs?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,1,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_enough_water_drk_cook_bath_wash,"Percentage of households reporting having enough water for drinking, cooking, bathing and washing",hh_enough_water_other_dom,"Does your household currently have enough water to meet other domestic purposes (cleaning house, floor, etc.) needs?",,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,2,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_capacity_water_collection,Percentage of households by water storage and transportation capacity (liters),hh_auth_water_collection,May I see all the containers you have for storing and collecting water?,,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
household,WASH,Water,2,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_capacity_water_collection,Percentage of households by water storage and transportation capacity (liters),hh_capacity_water_collection,How many containers is there?,,integer,,integer,${auth_water_collection}='yes',,.<=15,More than 15 containers,,TRUE
household,WASH,Water,2,access_suff_quant_water,Percentage of households having access to a sufficient quantity of water,hh_capacity_water_collection,Percentage of households by water storage and transportation capacity (liters),hh_water_container_repeat,Water Containers,,begin_repeat,,begin_repeat,${capacity_water_collection} >0,,,,${capacity_water_collection},TRUE
